sheet,nrows_after_filter,mean_inv,max_inv,min_inv,std_inv,slope,auc,capacity,SOH
18,26,109.51894614867933,113.63402520744138,106.31639748790683,2.3002219303188505,-0.2791330479359027,10806.08290649276,4.6139,100.13673061897734
19,26,108.99948974025908,112.22833689475867,105.85812234529439,2.38856151675938,-0.2412291471115219,8464.617618638798,4.4349,96.25184477819255
20,28,108.92579063902902,112.22833689475867,106.19760821697062,2.263141344457533,-0.21456111614502366,8253.898744565293,4.4924,97.49978296727147
21,29,108.89039303634613,112.22833689475867,106.31639748790683,2.2469069146263316,-0.20326457685256827,8255.08177993731,4.4408,96.37989408802848
22,27,109.21146811583812,112.22833689475867,106.31639748790683,2.18912630885494,-0.10688051569729577,34184.28315934167,4.509,97.86005729664035
23,29,108.86384054486142,112.22833689475867,106.19760821697062,2.2828330776089816,-0.20689821913984424,8252.455584705876,4.4781,97.18942616546576
24,25,109.20587457633368,112.34652189771138,106.09573878153523,2.269549687692376,-0.24630563078618137,7613.10944880361,4.4486,96.54917961628614
25,26,109.0177529895218,112.22833689475867,105.85812234529439,2.364411850302514,-0.2412291471115219,8680.929457404534,4.2695,92.662123448216
26,25,109.22938480842775,112.22833689475867,106.19760821697062,2.2170987707028247,-0.2413812556631516,7615.523709201054,4.4144,95.80692768469486
27,26,109.22116394358665,112.34652189771138,106.31639748790683,2.2645722671101605,-0.23238372619298503,7835.9472959697,4.389,95.25566455421479
28,26,109.12608322138651,112.22833689475867,106.19760821697062,2.2358981931109323,-0.23172600543662555,7828.610796291766,4.4193,95.91327372167723
29,25,109.26629438331885,112.22833689475867,106.31639748790683,2.170111044150441,-0.2371420063279963,7402.753702995178,4.4304,96.15418005035158
30,27,109.30256554903045,112.34652189771138,106.43518675884303,2.1688868107106085,-0.21887780341029112,7410.8500324818815,4.4465,96.5036027432937
31,27,109.32010536658942,112.34652189771138,106.43518675884303,2.1843764361141007,-0.21887780341029112,7411.7971826300645,4.424,96.01527910408892
32,27,109.46167795070596,113.51083074752809,106.53692874288676,2.2677851303520202,-0.26365891301862593,10817.599218036292,4.4795,97.21981074746073
33,27,109.43217790516304,113.51083074752809,106.53692874288676,2.2882844926010057,-0.26365891301862593,11031.216369059406,4.4215,95.96102092195503
34,27,109.4246124668306,113.51083074752809,106.43518675884303,2.3075329623159258,-0.26365891301862593,10804.136546871865,4.4316,96.18022397777587
35,24,109.10919468687159,112.22833689475867,105.85812234529439,2.30988403117141,-0.2570408437761671,7818.404558040153,4.3282,93.93610556471916
36,26,109.20370473077702,112.22833689475867,106.43518675884303,2.1405376609871625,-0.2229055154285942,7187.222323837595,4.5017,97.70162340480944
37,25,109.14704117454488,112.22833689475867,106.53692874288676,2.1151554691368135,-0.23219324523811893,6966.795672436785,4.438,96.31912492403855
38,25,109.37330459917595,112.34652189771138,106.43518675884303,2.18460412262658,-0.2371176203611487,7194.1841119353885,4.4816,97.26538762045318
39,27,109.25925907636612,112.22833689475867,106.53692874288676,2.120822380824201,-0.10746602990803812,33553.54529699461,4.4857,97.3543710391527
40,28,109.4929534031387,113.63402520744138,106.53692874288676,2.260273059444549,-0.2584565258665766,11039.291113453402,4.4529,96.64250368955638
41,27,109.41282260184218,113.51083074752809,106.53692874288676,2.211159868763586,-0.25974995656647776,10812.137633563414,4.4438,96.44500390658914
42,26,109.25520690393117,112.22833689475867,106.53692874288676,2.0945676968764735,-0.21884020071836005,6974.571783644538,4.4627,96.85519576352114
43,27,109.46580788998327,113.51083074752809,106.53692874288676,2.281751586870754,-0.26365891301862593,10808.124524416442,4.5123,97.93167809705704
44,25,109.2215348061409,112.22833689475867,106.53692874288676,2.1330881481004527,-0.2279585424149584,6971.368209970811,4.4004,95.50308186474523
45,25,109.22414836079018,112.34652189771138,106.19760821697062,2.278932931668365,-0.25125518374185657,8046.665762438663,4.3771,94.9973956072576
46,25,109.38683444764449,112.34652189771138,106.43518675884303,2.1896006137238895,-0.2371176203611487,7194.860604358815,4.4251,96.03915270422779
47,26,109.47964765162872,113.51083074752809,106.19760821697062,2.318988908209333,-0.27895608018565327,10812.224646124123,4.3824,95.11242295338137
48,27,109.4233998779526,113.51083074752809,106.53692874288676,2.283724422878747,-0.26365891301862593,11030.742355590044,4.3929,95.3403073183436
49,27,109.41016846956255,113.51083074752809,106.43518675884303,2.3508101633134224,-0.26822700017851275,11020.482730427902,4.421,95.95016928552828
50,27,109.43509297492656,113.51083074752809,106.53692874288676,2.2625026046600363,-0.26365891301862593,10815.332826624972,4.4663,96.93332754579393
51,20,110.82415882489133,115.11067935108707,106.75733187679967,1.9114867642686983,-0.43339980372973375,11057.190061203075,4.4843,97.32398645715776
52,27,109.42231608459026,113.7571982786143,106.53692874288676,2.2469480369206893,-0.2731345872911724,10816.447427465859,4.3783,95.02343953468184
53,27,109.55813321087446,113.63402520744138,106.53692874288676,2.2415327490081154,-0.1605508704592308,37404.09035103656,4.3178,93.71039152704228
54,27,109.46306083052896,113.63402520744138,106.53692874288676,2.3140913463319945,-0.2683971614768295,11035.681452749848,4.4686,96.98324507335707
55,25,109.24293528184663,112.22833689475867,106.19760821697062,2.218936095347629,-0.2413812556631516,7616.201232871998,4.3423,94.24212171195417
56,27,109.41900726726502,113.51083074752809,106.53692874288676,2.282492200888443,-0.26365891301862593,11030.505154612914,4.4335,96.22146019619761
57,27,109.41587446797381,113.51083074752809,106.55397602977925,2.286306694651496,-0.26365891301862593,11030.472361746328,4.3075,93.48684781665077
58,27,109.46117964300527,113.7571982786143,106.53692874288676,2.2594372997088574,-0.2692256308390242,10594.231666623431,4.3897,95.27085684521226
59,27,109.38717617770833,113.75079321061114,106.53692874288676,2.2552409568784975,-0.27288823852182004,11040.432926579555,4.367,94.77819255143676
60,28,109.51445857934323,113.88034992269613,106.53692874288676,2.270980349670228,-0.2675796634686041,10828.14931784801,4.3488,94.38319298550222
61,27,109.39164782228889,113.63402520744138,106.53692874288676,2.236170785222463,-0.2683971614768295,10812.943745233992,4.3588,94.60022571403768
62,27,109.4632365981368,113.7571982786143,106.53692874288676,2.319751567647001,-0.2731345872911724,11037.538540268264,4.413,95.77654310269989
63,26,109.16315458112915,112.34652189771138,106.19760821697062,2.278171324707018,-0.2364534055547341,8046.121957671182,4.3945,95.37503255490928
64,26,109.27331373331705,112.34652189771138,106.43518675884303,2.221676296094241,-0.23238372619298503,7407.8499663752345,4.3041,93.4130566889487
65,25,109.3205096396871,112.22833689475867,106.43518675884303,2.139443084028456,-0.23219324523811893,6974.655159821545,4.3864,95.19923604479557
66,27,109.43673177107705,113.63402520744138,106.53692874288676,2.2994118240311434,-0.2683971614768295,11033.310194717464,4.3865,95.20140637208091
67,26,109.22192587957603,112.22833689475867,106.43518675884303,2.1556474069531384,-0.2229055154285942,7188.169823575145,4.3244,93.8536331278757
68,25,109.17271816270605,112.22833689475867,106.55397602977925,2.169572782376892,-0.23219324523811893,6968.215900139982,4.4143,95.8047573574095
69,26,109.16053320909616,112.34652189771138,106.19760821697062,2.297551294490393,-0.2364534055547341,7614.582374973963,4.3428,94.25297334838095
70,27,109.39700923079572,113.51083074752809,106.43518675884303,2.341837240068887,-0.26822700017851275,10792.846603964523,4.3813,95.08854935324248
71,26,109.38854371304993,113.63402520744138,106.53692874288676,2.3276234665261017,-0.2791330479359027,10812.880440979881,4.4443,96.4558555430159
72,27,109.45006364248245,113.7571982786143,106.53692874288676,2.3149281663469203,-0.2731345872911724,11035.877711840947,4.4223,95.97838354023787
73,25,109.00726250712576,112.22833689475867,106.09573878153523,2.2989575663635113,-0.2463308086188268,8034.615352097735,4.3039,93.40871603437797
74,25,109.14287073163082,112.22833689475867,106.31639748790683,2.233400929471599,-0.2371420063279963,7397.769381438253,4.3446,94.29203923951732
75,22,110.07710935393995,114.86478705870212,106.75733187679967,2.121644588847582,-0.3804144751657138,11075.657159412433,4.4138,95.79390572098274
76,26,109.48597599803392,113.51083074752809,106.43518675884303,2.2568232236419683,-0.27420526953937097,10812.444618158772,4.3847,95.16234048094454
77,27,109.39911583978844,113.63402520744138,106.43518675884303,2.2957038415334345,-0.2683971614768295,11028.574038508283,4.3778,95.01258789825505
78,26,109.47255689366463,113.51083074752809,106.43518675884303,2.2479365135005724,-0.27420526953937097,10811.746824731568,4.4061,95.62679052001043
79,26,109.30769312057538,112.22833689475867,106.65569900904381,2.0749558576272,-0.11544745062585264,33327.44717270554,4.4524,96.63165205312961
80,27,109.4704212611875,113.51083074752809,106.53692874288676,2.2871688184583086,-0.26365891301862593,10808.373646461472,4.3711,94.8671759701363
81,27,109.40920929529608,113.63402520744138,106.53692874288676,2.2342372090762037,-0.2683971614768295,10813.89206477638,4.3323,94.0250889834187
82,26,109.47385792323824,113.51083074752809,106.43518675884303,2.261532708852455,-0.27420526953937097,10811.814478269396,4.3296,93.96649014671414
83,25,109.00724217662182,112.22833689475867,106.09573878153523,2.3161758344003753,-0.2463308086188268,8034.614335572539,4.3458,94.31808316694156
84,26,109.20231065166612,112.34652189771138,106.31639748790683,2.2225491069537773,-0.23238372619298503,7402.020527766233,4.3459,94.32025349422695
85,26,109.25245392669503,112.34652189771138,106.43518675884303,2.240688257454312,-0.23238372619298503,7405.6970815061595,4.3453,94.3072315305148
86,27,109.4120196670166,113.63402520744138,106.43518675884303,2.3091159855535164,-0.2683971614768295,10805.181258120696,4.3496,94.40055560378505
87,27,109.35630156454279,113.51083074752809,106.43518675884303,2.2846304752201454,-0.26822700017851275,11024.532921012476,4.3409,94.21173712995922
88,28,109.38445275612075,113.51083074752809,106.43518675884303,2.2483000570633798,-0.15413842734502559,37138.47931496531,4.3834,95.13412622623491
89,25,109.16051818802522,112.22833689475867,106.43518675884303,2.19650159854517,-0.2371420063279963,7183.781746646963,4.3442,94.2833579303759
90,27,109.44532268757378,113.51083074752809,106.53692874288676,2.301476972841724,-0.26365891301862593,10806.068834664346,4.3737,94.92360447955554
91,23,109.00528933643615,112.22833689475867,105.85812234529439,2.420439617867773,-0.27412403080854764,8243.510738873505,4.2605,92.4667939925341
92,25,109.12386965910301,112.22833689475867,106.31639748790683,2.2385012699923754,-0.2371420063279963,7395.632466784385,4.3316,94.00989669242122
93,25,109.12388530107226,112.22833689475867,106.31639748790683,2.2338057744979722,-0.2371420063279963,7395.6332488828475,4.2995,93.31322163382238
94,25,109.12863611171855,112.22833689475867,106.31639748790683,2.2281938949096647,-0.2371420063279963,7395.870789415162,4.2964,93.24594148797641
95,25,109.18352923205416,112.22833689475867,106.43518675884303,2.2088080386140647,-0.2371420063279963,7183.86412392368,4.3354,94.0923691292647
96,25,109.16180590685327,112.22833689475867,106.31639748790683,2.2534199859864725,-0.2371420063279963,7398.716140199376,4.2325,91.85910235263478
97,25,109.157069375839,112.22833689475867,106.43518675884303,2.2379237559402583,-0.2371420063279963,7182.541131112922,4.308,93.49769945307753
98,24,109.06771591998454,112.22833689475867,106.19760821697062,2.352711272802587,-0.25187609286589735,7390.610380069149,4.2781,92.8487715947565
99,25,109.15577074391531,112.22833689475867,106.43518675884303,2.1955890737457695,-0.2371420063279963,7182.476199516737,4.3266,93.9013803281535
100,26,109.1592414278967,112.34652189771138,106.19760821697062,2.2829451396994718,-0.2364534055547341,7614.515202351591,4.3551,94.51992360447956
101,24,109.06560641161211,112.22833689475867,105.85812234529439,2.3678945276177825,-0.26220559468643684,8247.155409706782,4.2542,92.33006337355674
102,25,109.15740096785092,112.34652189771138,106.31639748790683,2.2959532704311654,-0.24630563078618137,7397.292589202872,4.2759,92.80102439447869
103,25,109.13809231764473,112.22833689475867,106.31639748790683,2.252849177580218,-0.2371420063279963,7396.34359971147,4.2723,92.72289261220592
104,26,109.19774256450624,112.34652189771138,106.31639748790683,2.2281077229694874,-0.23238372619298503,7401.782987233918,4.2796,92.88132650403682
105,25,109.09059643260863,112.22833689475867,106.19760821697062,2.3164453629615678,-0.2463308086188268,7610.008626811261,4.2731,92.74025523048877
106,26,109.24787071468518,112.34652189771138,106.43518675884303,2.250784230861331,-0.23238372619298503,7405.4587544816495,4.3272,93.91440229186563
107,25,109.18760664466444,112.22833689475867,106.43518675884303,2.2003351846359256,-0.2371420063279963,7185.136169478924,4.3102,93.54544665335534
108,24,109.23141218724088,112.22833689475867,106.31639748790683,2.2144066453262314,-0.24745252834225703,7182.483655915408,4.3003,93.33058425210523
109,26,109.18862111783197,112.34652189771138,106.31639748790683,2.224003651276988,-0.23238372619298503,7401.308672006857,4.3228,93.81890789131
110,26,109.22029024927093,112.34652189771138,106.43518675884303,2.2275077043763285,-0.23238372619298503,7404.024570280108,4.2058,91.27962496744509
111,25,109.09803929628113,112.34652189771138,106.19760821697062,2.300785424383522,-0.24630563078618137,8040.241519942274,4.2958,93.23291952426426
112,25,109.10415302901772,112.22833689475867,106.19760821697062,2.3103693374633703,-0.2413812556631516,7610.5676673607795,4.2634,92.52973348380937
113,26,109.22509223453002,112.34652189771138,106.43518675884303,2.233568058817884,-0.23238372619298503,7404.27427351358,4.3155,93.66047399947914
114,25,109.17125405354774,112.34652189771138,106.31639748790683,2.2745289121370083,-0.24206638145102607,7399.070362531145,4.201,91.17544925774807
115,26,109.19317935779152,112.34652189771138,106.31639748790683,2.2268182271861523,-0.23238372619298503,7401.545700484752,4.3166,93.68434759961804
116,26,109.24204632175409,112.34652189771138,106.43518675884303,2.2130559849867066,-0.23238372619298503,7189.2166718316075,4.2638,92.53841479295077
117,25,109.12866868690675,112.22833689475867,106.43518675884303,2.2068197350942116,-0.2371420063279963,7181.121096666309,4.2573,92.39734351940272
118,25,109.11031400041794,112.22833689475867,106.31639748790683,2.24990990701022,-0.2413812556631516,7395.056425834176,4.3303,93.98168243771163
119,25,109.11506481106422,112.22833689475867,106.31639748790683,2.2443682200218817,-0.2413812556631516,7395.29396636649,4.2859,93.01805712301416
120,25,109.12863611171855,112.22833689475867,106.31639748790683,2.2281938949096647,-0.2371420063279963,7180.050364468474,4.2361,91.93723413490757
121,25,109.01658028949065,112.34652189771138,105.97693056341481,2.408456135957678,-0.25620473669753174,8464.49925469279,4.1315,89.6670717944266
122,25,109.07371260423038,112.22833689475867,106.31639748790683,2.2577200425728488,-0.2413812556631516,7609.046780971485,4.2777,92.84009028561509
123,25,109.12863611171855,112.22833689475867,106.31639748790683,2.2281938949096647,-0.2371420063279963,7395.870789415162,4.2571,92.39300286483203
124,25,109.0818662450352,112.34652189771138,106.31639748790683,2.2324913367177657,-0.24630563078618137,7393.515853062086,4.2853,93.00503515930204
125,25,109.03091917095183,112.22833689475867,106.09573878153523,2.3450183432684506,-0.2463308086188268,7820.198419048723,4.2444,92.11737129959198
126,24,109.2527440651288,112.34652189771138,106.31639748790683,2.289901433238618,-0.25701457125514576,7400.680228013419,4.3055,93.44344127094367
127,25,109.08659542263143,112.34652189771138,106.31639748790683,2.2390282870872986,-0.24630563078618137,7393.752311941897,4.3235,93.8341001823075
128,25,109.19021402835519,112.34652189771138,106.31639748790683,2.2757154944885305,-0.24206638145102607,7400.018361271518,4.2876,93.05495268686519
129,25,109.1008441941224,112.22833689475867,106.31639748790683,2.2403480586670375,-0.2413812556631516,7394.582935519399,4.306,93.45429290737044
130,25,109.157055096207,112.22833689475867,106.31639748790683,2.2590418625811477,-0.2371420063279963,7398.478599667062,4.1738,90.58512023613162
131,25,109.09729420677712,112.34652189771138,106.09573878153523,2.3631532871475103,-0.25125518374185657,8040.54167141307,4.2565,92.3799809011199
132,25,109.09674269976364,112.22833689475867,106.31639748790683,2.265814915740465,-0.2413812556631516,7394.37786080146,4.3108,93.55846861706748
133,26,109.18137543376042,112.34652189771138,106.31639748790683,2.287064463934622,-0.2364534055547341,7616.854063365867,4.2822,92.93775501345603
134,25,109.15268751162512,112.34652189771138,106.31639748790683,2.2854058843907463,-0.24630563078618137,7398.2437774190585,4.2989,93.30019967011025
135,24,109.21750612586074,112.22833689475867,106.31639748790683,2.2533696808464048,-0.25187609286589735,7181.981019854591,4.2293,91.78965187950344
136,23,108.99054551747031,112.22833689475867,105.85812234529439,2.42783833421689,-0.27875445969197443,8242.934392636513,4.1354,89.75171455855543
137,25,109.10543866355627,112.34652189771138,106.19760821697062,2.3531334058190523,-0.25125518374185657,7826.4528751341895,4.2513,92.26712388228144
138,25,109.08451303920506,112.22833689475867,106.19760821697062,2.2923924417537633,-0.2413812556631516,7608.280120739921,4.2347,91.90684955291259
139,28,109.36279758752146,112.34652189771138,106.19760821697062,2.3946000650122783,-0.21809588782513942,10074.925340242557,4.281,92.91171108603177
140,25,109.13122052267816,112.34652189771138,106.19760821697062,2.322427315238561,-0.24630563078618137,7611.80285704085,4.2104,91.37946002257141
141,25,108.9392401642831,112.34652189771138,105.85812234529439,2.457509277056624,-0.26044929650733967,8674.314144400116,4.1455,89.97091761437626
142,25,109.07765353396982,112.34652189771138,106.19760821697062,2.352121931615375,-0.25125518374185657,7823.639385421893,4.1786,90.68929594582865
143,24,109.13746207682136,112.22833689475867,106.19760821697062,2.275856022060475,-0.2570408437761671,7392.771437738029,4.2304,91.81352547964235
144,24,109.19982786088288,112.22833689475867,106.19760821697062,2.2792533135509503,-0.25187609286589735,7395.646206102044,4.1967,91.08212518447783
145,25,109.18047679600222,112.34652189771138,106.31639748790683,2.27415607167406,-0.24206638145102607,7399.531499653871,4.1963,91.07344387533641
146,25,109.1549107789726,112.34652189771138,106.31639748790683,2.3346592601110387,-0.24630563078618137,7614.294051835868,4.2047,91.25575136730619
147,24,108.85934540087419,112.22833689475867,105.85812234529439,2.4352773586990177,-0.26663470057493205,8452.718900430877,4.1414,89.88193419567672
148,25,109.03092555728445,112.22833689475867,106.09573878153523,2.3320147900537433,-0.2463308086188268,7820.198738365352,4.2372,91.96110773504644
149,25,109.10751434554328,112.34652189771138,106.19760821697062,2.308596106358659,-0.24630563078618137,7609.312001053878,4.1712,90.52869172671238
150,25,109.05739440593769,112.22833689475867,106.19760821697062,2.3002336339692273,-0.2463308086188268,7607.042978347488,4.1023,89.03333622710305
151,24,109.17857186296983,112.34652189771138,106.09573878153523,2.3393200871545474,-0.2621793221654155,7609.10572492073,4.1722,90.55039499956594
152,24,109.09951695738255,112.22833689475867,106.09573878153523,2.345467448062284,-0.26220559468643684,7605.548063726427,4.2227,91.64641027867002
153,24,109.00230241230274,112.22833689475867,106.19760821697062,2.2978548159794214,-0.25187609286589735,7386.164984570197,4.1737,90.58294990884626
154,25,109.04924057020719,112.22833689475867,106.19760821697062,2.319523010145476,-0.2463308086188268,7606.635286560962,4.2136,91.44891049570275
155,25,109.03503109355798,112.22833689475867,106.19760821697062,2.306583487518189,-0.2463308086188268,7605.924812728502,4.1791,90.70014758225541
156,25,109.07635128724034,112.22833689475867,106.19760821697062,2.3141082414851164,-0.2463308086188268,7607.99082241262,4.211,91.39248198628354
